 INFO  Accepting connections at http://localhost:3000
 HTTP  9/2/2026 3:14:17 PM ::1 GET /
 HTTP  9/2/2026 3:14:17 PM ::1 Returned 200 in 18 ms
 HTTP  9/2/2026 3:14:17 PM ::1 GET /
 HTTP  9/2/2026 3:14:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/2/2026 3:14:17 PM ::1 GET /css/tailwind.css
 HTTP  9/2/2026 3:14:17 PM ::1 GET /assets/logo.png
 HTTP  9/2/2026 3:14:17 PM ::1 GET /css/fa.min.css
 HTTP  9/2/2026 3:14:17 PM ::1 GET /css/osas.css
 HTTP  9/2/2026 3:14:17 PM ::1 GET /js/config.js
 HTTP  9/2/2026 3:14:17 PM ::1 Returned 304 in 4 ms
 HTTP  9/2/2026 3:14:17 PM ::1 Returned 304 in 2 ms
 HTTP  9/2/2026 3:14:17 PM ::1 Returned 304 in 3 ms
 HTTP  9/2/2026 3:14:17 PM ::1 Returned 304 in 3 ms
 HTTP  9/2/2026 3:14:17 PM ::1 Returned 304 in 5 ms
 HTTP  9/2/2026 3:14:17 PM ::1 GET /js/app.js
 HTTP  9/2/2026 3:14:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/2/2026 3:14:17 PM ::1 GET /js/ui.js
 HTTP  9/2/2026 3:14:17 PM ::1 GET /js/api.js
 HTTP  9/2/2026 3:14:17 PM ::1 GET /js/auth.js
 HTTP  9/2/2026 3:14:17 PM ::1 GET /js/modules.js
 HTTP  9/2/2026 3:14:17 PM ::1 Returned 304 in 6 ms
 HTTP  9/2/2026 3:14:17 PM ::1 Returned 304 in 5 ms
 HTTP  9/2/2026 3:14:17 PM ::1 Returned 304 in 2 ms
 HTTP  9/2/2026 3:14:17 PM ::1 Returned 304 in 3 ms
 HTTP  9/2/2026 3:14:17 PM ::1 GET /assets/fonts/fa/fa-solid-900.woff2
 HTTP  9/2/2026 3:14:17 PM ::1 GET /js/mock.js
 HTTP  9/2/2026 3:14:17 PM ::1 Returned 304 in 1 ms
 HTTP  9/2/2026 3:14:17 PM ::1 Returned 304 in 2 ms
 HTTP  9/2/2026 3:21:08 PM ::1 GET /
 HTTP  9/2/2026 3:21:08 PM ::1 Returned 200 in 2 ms
 HTTP  9/2/2026 3:21:08 PM ::1 GET /css/tailwind.css
 HTTP  9/2/2026 3:21:08 PM ::1 Returned 304 in 1 ms
 HTTP  9/2/2026 3:21:08 PM ::1 GET /css/fa.min.css
 HTTP  9/2/2026 3:21:08 PM ::1 GET /assets/logo.png
 HTTP  9/2/2026 3:21:08 PM ::1 GET /css/osas.css
 HTTP  9/2/2026 3:21:08 PM ::1 GET /js/config.js
 HTTP  9/2/2026 3:21:08 PM ::1 Returned 304 in 1 ms
 HTTP  9/2/2026 3:21:08 PM ::1 Returned 304 in 2 ms
 HTTP  9/2/2026 3:21:08 PM ::1 Returned 304 in 2 ms
 HTTP  9/2/2026 3:21:08 PM ::1 Returned 304 in 2 ms
 HTTP  9/2/2026 3:21:08 PM ::1 GET /assets/fonts/fa/fa-solid-900.woff2
 HTTP  9/2/2026 3:21:08 PM ::1 GET /js/app.js
 HTTP  9/2/2026 3:21:08 PM ::1 Returned 304 in 1 ms
 HTTP  9/2/2026 3:21:08 PM ::1 Returned 200 in 2 ms
 HTTP  9/2/2026 3:21:08 PM ::1 GET /js/ui.js
 HTTP  9/2/2026 3:21:08 PM ::1 GET /js/api.js
 HTTP  9/2/2026 3:21:08 PM ::1 GET /js/auth.js
 HTTP  9/2/2026 3:21:08 PM ::1 GET /js/modules.js
 HTTP  9/2/2026 3:21:08 PM ::1 Returned 304 in 1 ms
 HTTP  9/2/2026 3:21:08 PM ::1 Returned 304 in 2 ms
 HTTP  9/2/2026 3:21:08 PM ::1 Returned 304 in 1 ms
 HTTP  9/2/2026 3:21:08 PM ::1 Returned 304 in 2 ms
 HTTP  9/2/2026 3:21:08 PM ::1 GET /js/mock.js
 HTTP  9/2/2026 3:21:08 PM ::1 Returned 304 in 2 ms
